Id,Name,Description,X,Y,Z
0,BM.2,,612779.441,9141565.085,59.641
0,P.2,,612743.75804176775,9141526.1334012039,59.452
1,P.2,J,612744.01381695888,9141528.9909771085,59.476
2,P.2,J,612744.45680996135,9141533.9401910063,59.441
3,P.2,,612744.71374411986,9141536.8107151464,58.904
4,P.2,T1,612744.949281957,9141539.4421949442,58.393
5,P.2,L,612745.04333661939,9141540.4929940309,58.377
6,P.2,D1L,612745.05332156934,9141540.6045480575,56.103
7,P.2,D1L,612746.65483621985,9141558.4970170539,55.952
8,P.2,L,612746.66187917558,9141558.5757024828,58.354
9,P.2,T1,612746.7128737414,9141559.1454248317,58.444
10,P.2,,612746.9046382712,9141561.2878597472,59.008
11,P.2,,612747.103,9141563.504,59.696
12,P.2,J,612747.27140687907,9141565.3854781762,59.907
13,P.2,J,612747.65627320867,9141569.6852882765,59.876
14,P.2,,612747.97329536953,9141573.22712861,59.558
0,P.3,,612709.82122675248,9141534.0791428443,58.19
1,P.3,J,612711.30440332182,9141538.04486387,58.406
2,P.3,J,612712.73293285654,9141541.8644695263,58.355
3,P.3,,612714.25534319447,9141545.9350938965,58.292
4,P.3,T1,612714.58988113108,9141546.8295822255,58.302
5,P.3,L,612714.92687117832,9141547.7306270115,58.322
6,P.3,D1L,612714.94999107765,9141547.7924450524,56.057
7,P.3,D1L,612721.24280730169,9141564.61819199,55.853
8,P.3,L,612721.29570282879,9141564.7596241757,58.291
9,P.3,T1,612721.52935393224,9141565.38436105,58.332
10,P.3,,612722.358517593,9141567.601380812,58.686
11,P.3,,612722.919,9141569.1,58.854
12,P.3,J,612723.67319913884,9141571.1165794451,59.111
13,P.3,J,612725.17178897443,9141575.123512499,59.115
14,P.3,,612726.81049941177,9141579.50510035,58.743
0,P.4,,612677.75173532125,9141551.48109155,57.678
1,P.4,J,612680.39226842241,9141554.7908258215,57.894
2,P.4,J,612682.9355121603,9141557.9786142856,57.843
3,P.4,,612685.64589403488,9141561.3758993912,57.78
4,P.4,T1,612686.24147955957,9141562.1224266067,57.79
5,P.4,L,612686.84143063263,9141562.8744257484,57.811
6,P.4,D1L,612686.88259151706,9141562.9260182045,55.545
7,P.4,D1L,612698.08583587885,9141576.968546886,55.341
8,P.4,L,612698.18000699324,9141577.086584175,57.779
9,P.4,T1,612698.59598138591,9141577.6079806685,57.82
10,P.4,,612700.0721603774,9141579.4582737759,58.174
11,P.4,,612701.07,9141580.709,58.342
12,P.4,J,612702.412717942,9141582.392008476,58.599
13,P.4,J,612705.0806916327,9141585.736137718,58.603
14,P.4,,612707.998125229,9141589.3929485157,58.231
0,P.5,,612656.96491338417,9141581.1671699677,58.304
1,P.5,J,612658.47232641268,9141582.2257869728,58.321
2,P.5,J,612661.99698868941,9141584.7010657117,58.295
3,P.5,,612665.63703926,9141587.25737865,58.519
4,P.5,T1,612666.655074986,9141587.97231869,58.298
5,P.5,L,612667.05688812234,9141588.2545016166,58.283
6,P.5,D1L,612667.18700683652,9141588.3458806071,55.834
7,P.5,D1L,612681.89369496668,9141598.67400557,55.807
8,P.5,L,612681.94443308166,9141598.70963763,58.277
9,P.5,T1,612682.52055619354,9141599.1142339222,58.234
10,P.5,,612684.172,9141600.274,58.193
11,P.5,,612685.5730266585,9141601.25790462,58.264
12,P.5,J,612687.36686452955,9141602.51767035,58.352
13,P.5,J,612690.7753201559,9141604.9113401771,58.26
14,P.5,,612693.187835687,9141606.6055871528,58.253
0,P.6,,612633.22511896887,9141603.34805661,58.62
1,P.6,J,612634.70082338259,9141604.0308248624,58.678
2,P.6,J,612639.08618852834,9141606.0598139055,58.707
3,P.6,,612642.34889293625,9141607.5693783946,58.527
