SALURAN : 		S. S. GROMPOL																																																												
Jenis sal (0.Profil 1. Main System 2. Tersier 3. Drain) :				1																																																										
Jenis Bangunan : 1.Bendung 2. Bagi  3.Sadap 4.Terjun 5.Gr Pembawa 6.Gr Pembuang 7.Jembatan 8.Talang 9.Siphon 10.Got miring 11.Pelimpah samping 12.Box Tersier 13.Box Kwarter 14.Jembatan org 15.Tempat ui 16.Mandi Hewan 17.PengurA																																																														
"Keterangan ross : R (rumah), P (pagar), J (jalan), T (tanggul), D (dAar sal), L (lining), W (Rawa), S (sawah), K (kebun), B(boundary)"																																																														
PATOK	X	Y	Z	Azimuth kiri			Dim sal	HWL1	X	Setion																																																				
				jam	mnt	dtk				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22																															
jarak	Nama bangunan	Tipe bangunan	z (head loss)	El. Dr	El. T ka	El. T ki	Lining	HWL2	tnh Ali																																																					
step methode(y/n/d)				El. Dr2	El. T ka2	El. T ki2	K	Water level	Bed level																																																					
PK40	613898.379	9142092.927	57.78324514							57.791																																																				
	BPP 1	2		54.22	57.791	57.791				0																																																				
																																																														
GP.01	613853.804	9142130.356	57.385							56.087	56.149	57.024	57.385	57.252	57.033	55.636	55.55	55.641	57.263	57.578	57.522	56.527	56.033	56.047																																						
										-5.429923112	-1.876852951	-0.479288014	0	1.065893522	1.344634523	3.321705586	4.924010154	6.37075129	7.946751286	8.334670059	9.509598993	11.64534521	12.69695432	14.24976144																																						
														T1L	L	D1L	L	D1L	L	T1L																																										
GP.02	613848.555	9142178.895	57.228							56.11	56.12	56.949	57.23	57.118	56.935	55.591	55.541	55.602	57.032	57.352	57.373	56.671	56.024	56.024																																						
										-4.195629904	-2.518966195	-0.554270052	0	1.195824607	1.499020644	3.055838034	4.545890022	6.004010501	7.628923823	7.956781767	9.120800836	10.387401	11.37260394	13.90637248																																						
														T1L	L	D1L	L	D1L	L	T1L																																										
GP.03	613843.919	9142227.961	57.328							56.167	56.201	57.041	57.328	57.16	57.044	55.565	55.508	55.538	57.028	57.266	57.376	56.387	55.789	55.79																																						
										-6.093066387	-2.658314127	-1.39236669	0	0.351118214	0.639956249	2.528685429	4.047354815	5.309166131	6.837594972	7.103425723	8.429588958	12.34894732	13.88472117	15.76164471																																						
														T1L	L	D1L	L	D1L	L	T1L																																										
GP.04	613832.628	9142249.581	57.124							56.145	56.249	56.911	57.12	57.015	56.978	55.568	55.427	55.402	56.914	57.479	57.345	55.877	55.768																																							
										-5.539716463	-1.97786928	-1.236338178	0	0.530495514	0.918044601	2.804583764	4.002605013	5.56111576	7.109705894	7.553781946	9.23546622	10.69303277	13.78974787																																							
														T1L	L	D1L	L	D1L	L	T1L																																										
GP.05	613812.779	9142264.919	57.239							55.953	56.12	57.047	57.059	57.022	56.937	55.708	55.245	55.179	56.958	57.147	57.088	55.681	55.707																																							
										-6.542345676	-2.444772286	-0.93179565	0	0.452808048	0.655884387	2.407317829	3.715829507	4.954785256	6.580217027	6.929916285	8.35520399	10.07530858	13.10896152																																							
														T1L	L	D1L	L	D1L	L	T1L																																										
GP.06	613766.306	9142280.601	57.177							56.066	56.093	56.868	57.1	56.925	56.765	55.379	55.305	55.328	56.943	57.35	57.256	57.374																																								
										-4.637914726	-2.051281795	-1.2509996	0	0.658110173	1.313785751	2.711210245	3.833288144	5.097747051	6.874888363	7.246520406	8.507444857	9.54559469																																								
														T1L	L	D1L	L	D1L	L	T1L																																										
GP.07	613719.906	9142296.337	57.519							57.519	57.166	56.863	55.445	55.341	55.4	57.037	57.27	57.433	56.733	56.616																																										
	BGP 1a	7								0	0.971786499	1.453409784	2.861973096	4.374540548	5.53862167	7.387899567	7.823358934	9.158820231	10.66790195	12.99317609																																										
											T1L	L	D1L	L	D1L	L	T1L																																													
GP.08	613675.541	9142321.803	56.998							57.44	57.44	57.08	56.085	55.349	55.5	55.668	56.814	56.987	56.998																																											
										-8.410517227	-7.984929431	-7.723039882	-6.6571216	-4.208244291	-2.490561785	-1.77118068	-0.71092053	0	1.998160153																																											
										R	T1L	L	D1L	L	D1L	L	T1L		R																																											
GP.09	613622.337	9142336.758	57.282							57.121	57.097	57.094	57.282	57.082	56.98	55.556	55.032	55.179	56.966	56.958	56.937	56.813																																								
	BGP 1b	7								-4.335690486	-3.160750068	-0.54430598	0	0.392867663	0.702481317	1.608137122	5.245424102	8.423214648	9.340045022	9.833137292	12.1853826	14.97972647																																								
											J	J		T1L	L	D1L	L	D1L	L	T1L																																										
GP.10	613580.008	9142361.770	57.13							56.949	56.986	56.985	57.116	56.959	56.899	55.619	55.42	55.391	55.391	56.837	56.733	56.089	55.811																																							
										-4.139907486	-2.975718399	-0.396429059	0	0.326142608	0.617234154	1.493941097	5.241597182	8.601243748	8.627382513	9.718334478	12.71645017	13.15112353	16.56711927																																							
											J	J		T1L	L	D1L	L	D1L	L	T1L																																										
GP.11	613537.669	9142387.018	57.175							56.931	56.918	56.987	57.175	56.834	56.593	55.355	55.016	55.477	57.129	57.065	57.139																																									
	BGP 1	3								-3.801203099	-2.898194264	-0.605221446	0	1.009444402	1.300991161	2.524808905	5.189047793	8.275343921	9.085677741	9.967353962	13.35857616																																									
											J	J		T1L	L	D1L	L	D1L	L	T1L	R																																									
GP.12	613492.838	9142407.819	56.582							56.384	56.548	56.541	56.582	56.423	56.287	56.134	55.673	55.198	55.149	57.365																																										
										-4.536823778	-3.252094249	-0.668542445	0	0.974462416	2.669158106	3.176315161	4.029415963	5.890693168	8.314223777	9.231402601																																										
											J	J			T1L	L	D1L	L	D1L	T1L																																										
GP.13	613447.120	9142425.850	56.607							56.387	56.483	56.458	56.505	56.179	55.905	55.758	55.073	55.238	57.363																																											
										-5.047639549	-3.955425768	-0.913720417	0	1.6695727	2.339480711	3.106665093	5.102205406	7.349966666	8.249624597																																											
											J	J		T1L	L	D1L	L	D1L	T1L																																											
GP.14	613401.354	9142443.163	56.624							56.546	56.649	56.59	56.624	56.311	56.155	56.03	55.215	55.112	57.521																																											
										-4.808117408	-3.83326871	-0.964079873	0	1.659424598	2.464486356	3.201201337	4.960699245	7.121127228	8.019750868																																											
											J	J			T1L	D1L	L	D1L	T1L																																											
GP.15	613355.395	9142460.379	56.56							56.447	56.539	56.496	56.56	56.452	56.267	55.905	55.038	55.075	57.59																																											
										-4.743059772	-3.847074864	-1.065713376	0	1.459937326	1.996596352	2.944014266	5.094552089	6.92420833	7.946089918																																											
											J	J			T1L	D1L	L	D1L	T1L																																											
GP.16	613309.671	9142477.711	56.901							56.367	56.483	56.475	56.433	56.507	56.148	55.66	55.074	55.125	57.626																																											
										-4.830258896	-3.699042579	-1.151086443	-0.518021235	0	1.603296605	2.445754688	4.402910514	6.578994529	7.653724649																																											
											J	J			T1L	D1L	L	D1L	T1L																																											
GP.17	613279.699	9142490.485	57.743							57.36	57.471	57.488	57.574	57.743	57.636	57.657	56.768	55.595	55.871	58.509																																										
	BGP 2a	7								-5.762284269	-4.179246104	-1.433875866	-0.630012698	0	0.393662292	0.923091545	1.386212466	5.070962927	7.878316128	8.904877372																																										
											J	J			T1L	D1L	L	D1L	T1L	R																																										
GP.18	613415.374	9143022.416	56.165							55.263	55.297	55.909	56.165	55.988	55.535	54.644	54.698	54.783	55.629	55.787																																										
										-5.21645646	-1.146888835	-0.657578132	0	0.400472221	0.777604655	1.924299353	2.8699777	4.271429035	5.124537442	6.91312621																																										
															T1L	D1L	L	D1L	T1L	R																																										
GP.19	613423.856	9143070.377	56.04							55.218	55.283	55.876	55.997	55.876	55.706	54.7	54.64	54.764	55.72	55.666	55.464	55.217																																								
										-4.916214804	-1.408805523	-1.014852206	0	0.352767629	0.664308663	1.787620206	2.657499765	3.902307651	4.811898794	5.082814673	6.906676914	14.40501999																																								
															T1L	D1L	L	D1L	T1L																																											
GP.20	613433.594	9143124.114	55.921							55.36	55.351	55.973	55.921	55.955	55.851	54.797	54.817	54.791	55.834	55.903	55.979	55.354	55.303																																							
										-3.529536088	-1.390868074	-0.765251593	0	0.3036083	0.432468496	1.541016872	2.428512713	3.865953569	4.717759214	5.15239226	6.630830566	7.579718332	10.71685854																																							
															T1L	D1L	L	D1L	T1L																																											
GP.21	613444.293	9143173.266	55.784							55.161	55.289	55.695	55.784	55.63	55.589	54.572	54.509	54.521	55.591	55.67	55.654	55.122	55.108																																							
										-5.074088391	-1.72564104	-1.116391508	0	0.238430284	0.378375475	1.557881253	2.530735269	3.859405265	4.911567164	5.43086089	7.682909931	8.214572418	11.18260958																																							
															T1L	D1L	L	D1L	T1L																																											
GP.22	613452.744	9143212.840	55.893							55.187	55.636	55.789	55.79	55.641	55.533	54.501	54.576	54.598	55.638	55.715	55.649	55.133	55.089																																							
										-6.240731047	-1.36661496	-0.947130403	0	0.243304336	0.577832156	1.757303616	2.989732095	4.194388275	5.179363764	5.789782206	8.579367401	9.148254533	11.91054995																																							
															T1L	D1L	L	D1L	T1L																																											
GP.23	613463.173	9143260.380	55.855							55.135	55.264	55.753	55.855	55.702	55.643	54.526	54.621	54.618	55.655	55.671	55.597	55.306	55.27																																							
										-5.552098162	-2.300694026	-1.225564768	0	0.361621349	0.552254471	1.942227845	2.987072313	3.986321738	5.188814508	5.62368109	7.032087955	8.242826943	10.10768643																																							
															T1L	D1L	L	D1L	T1L																																											
GP.24	613474.093	9143311.667	55.999							55.853	55.896	55.999	55.884	55.896	54.565	54.574	54.611	55.997	55.985	56.052	55.806	55.754																																								
	BGP 2	3								-3.565992989	-1.049789503	0	0.358134053	0.548566313	1.946763982	3.061157951	4.39620575	5.452363157	5.680879245	6.697316776	10.0408767	12.15092741																																								
														T1L	D1L	L	D1L	T1L		J	J																																									
